datetime,CT,cash,commission,total,returns,equity_curve,drawdown
1985-12-11,6005.0,98931.89999999986,61.099999999999945,104936.89999999986,4.764995201655964e-05,1.0493689999999969,0.030722000000000582
1985-12-12,6065.0,98931.89999999986,61.099999999999945,104996.89999999986,0.0005717721792810604,1.0499689999999968,0.030122000000000648
1985-12-13,6080.0,98931.89999999986,61.099999999999945,105011.89999999986,0.00014286136066865573,1.0501189999999967,0.029972000000000776
1985-12-16,6098.0,98931.89999999986,61.099999999999945,105029.89999999986,0.00017140914505886506,1.0502989999999968,0.029792000000000707
1985-12-17,6122.0,98931.89999999986,61.099999999999945,105053.89999999986,0.0002285063586655589,1.0505389999999968,0.02955200000000069
1985-12-18,6145.0,98931.89999999986,61.099999999999945,105076.89999999986,0.00021893523229499223,1.0507689999999967,0.029322000000000736
1985-12-19,6127.0,98931.89999999986,61.099999999999945,105058.89999999986,-0.00017130311229207607,1.0505889999999967,0.029502000000000805
1985-12-20,6100.0,98931.89999999986,61.099999999999945,105031.89999999986,-0.0002569986931140189,1.0503189999999967,0.029772000000000798
1985-12-23,6107.0,98931.89999999986,61.099999999999945,105038.89999999986,6.664641884990274e-05,1.0503889999999967,0.029702000000000783
1985-12-24,6090.0,98931.89999999986,61.099999999999945,105021.89999999986,-0.00016184480225900355,1.0502189999999967,0.029872000000000787
1985-12-26,6155.0,98931.89999999986,61.099999999999945,105086.89999999986,0.0006189185303255851,1.0508689999999967,0.029222000000000747
1985-12-27,6200.0,98931.89999999986,61.099999999999945,105131.89999999986,0.00042821702800255323,1.0513189999999968,0.028772000000000686
1985-12-30,6197.0,98931.89999999986,61.099999999999945,105128.89999999986,-2.8535582444533247e-05,1.0512889999999968,0.02880200000000066
1985-12-31,6206.0,98931.89999999986,61.099999999999945,105137.89999999986,8.560919024169777e-05,1.0513789999999967,0.028712000000000737
1986-01-02,6232.0,98931.89999999986,61.099999999999945,105163.89999999986,0.0002472942678140022,1.0516389999999967,0.02845200000000081
1986-01-03,6202.0,98931.89999999986,61.099999999999945,105133.89999999986,-0.0002852689943982911,1.0513389999999967,0.028752000000000777
1986-01-06,6207.0,98931.89999999986,61.099999999999945,105138.89999999986,4.755839933645589e-05,1.0513889999999966,0.028702000000000893
1986-01-07,6202.0,98931.89999999986,61.099999999999945,105133.89999999986,-4.75561376427347e-05,1.0513389999999965,0.028752000000001
1986-01-08,6265.0,98931.89999999986,61.099999999999945,105196.89999999986,0.0005992358316395663,1.0519689999999966,0.02812200000000087
