datetime,ZN,cash,commission,total,returns,equity_curve,drawdown
2004-07-13,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-14,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-15,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-16,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-19,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-20,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-21,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-22,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-23,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-26,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-27,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-28,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-29,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-30,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-02,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-03,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-04,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-05,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-06,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-09,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-10,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-11,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-08-12,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
